conv_id,n_turns,input_length_mean,output_length_mean,input_length_total,output_length_total,total_length,channel_mode
89B6436D-A40E-4FD7-970F-7415344DB74B,1,57.0,601.0,57,601,658,1
67B7AC62-EA65-4E41-8A6B-1EE322D9692E,1,53.0,543.0,53,543,596,1
9B208A74-0737-4CCA-860F-F10C3349BCE6,1,16.0,524.0,16,524,540,1
6970B2A1-D5AC-4BDA-B72D-FF930444F72E,4,38.5,400.75,154,1603,1757,1
d428f35a-92fe-41d6-8f1c-1e78946b0975,1,22.0,258.0,22,258,280,1
C619D57D-969D-4FA7-BEAB-1D5C228FC520,4,29.25,405.5,117,1622,1739,1
1DE7FAC6-3B5C-48D6-9E56-FD80FDFD5CBF,1,57.0,394.0,57,394,451,1
1BAF8646-71EA-4F33-B43A-F6D359F8578D,1,44.0,369.0,44,369,413,1
C80EE5FE-80A4-4103-ACDE-E1BF8D97B0AD,1,27.0,517.0,27,517,544,1
2BD03723-F786-46FF-B190-DC9BFCE5C755,1,43.0,336.0,43,336,379,1
ecafd679-d095-447f-bff2-57dcd7d73642,1,34.0,494.0,34,494,528,1
FA920EFD-EFD5-4431-BE9A-2CF740C56E89,1,23.0,832.0,23,832,855,1
8356A6A1-510D-4DCA-8E93-66FC2ABBAA7E,1,99.0,372.0,99,372,471,1
723fab7d-1b40-48ae-a1c7-8905dc5d7eb2,1,48.0,263.0,48,263,311,1
86bb9788-dfca-4aa3-ba27-d7f8dfd309a3,3,19.0,418.3333333333333,57,1255,1312,1
F9BAC774-B4C5-43B5-845A-126B06D9D8DF,4,27.0,625.5,108,2502,2610,1
3675D2C7-2846-4A18-98C6-736CBC20FE06,3,39.333333333333336,734.0,118,2202,2320,1
c17d8a68-f82e-4de1-9a83-6f96fdab610b,1,99.0,414.0,99,414,513,1
ACFF4374-6C8C-4739-B24A-5F97BB5B34F2,3,31.0,383.0,93,1149,1242,1
E632D938-77A0-4DA3-BB89-1B8DE68934E9,1,31.0,474.0,31,474,505,1
f8e54312-d6dc-425e-87c8-34a0180b1548,5,8.8,506.4,44,2532,2576,1
AAB10B52-1EF9-43CC-9F1C-3E1BB0D2EFD8,3,35.666666666666664,413.0,107,1239,1346,1
C34CF8AB-4FE0-47AA-A6A6-EE9701E7492C,1,54.0,345.0,54,345,399,1
53A6C9F3-DE45-415D-8BE0-4800EE56772F,3,32.0,669.6666666666666,96,2009,2105,1
DF400603-3E76-4282-8E32-AA0DA7670D07,1,26.0,543.0,26,543,569,1
BDAE9614-BEC9-4C5C-BD6E-F5B3D8ADAB96,4,26.5,379.0,106,1516,1622,1
d81700cc-1c89-48b6-b4b2-2085300b23e9,4,48.5,722.5,194,2890,3084,1
8225E782-7C71-4109-ADB7-7F7D826145F4,1,51.0,522.0,51,522,573,1
0F090DFA-38AC-481D-97AB-8EE9ACFBCC6C,1,26.0,357.0,26,357,383,1
718a8a2e-0182-4eba-94bd-c285de3954a9,3,43.333333333333336,631.3333333333334,130,1894,2024,1
706949E4-7BFA-4566-A2A7-FBF909B4E465,1,25.0,411.0,25,411,436,1
50e06d3e-1404-42eb-a534-ea4f774aef6d,1,62.0,625.0,62,625,687,1
