conv_id,n_turns,total_tokens
001ea1e9-93aa-4d59-b19f-eb11bb3aa312,1,82
003ccb1d-9769-43e4-b870-7434112a7cf6,1,99
00825f68-192f-480f-9802-d86e08e13766,1,199
00A7C772-1E7B-4540-A74D-8AEBDB266EA2,4,827
00EBC5C7-B8EA-4082-AF96-746ED720B980,1,176
00b572b1-9f37-42ea-a906-b7479ff90a29,1,189
00e416ab-ba42-4e08-aacf-88eb0f78716f,1,90
00ec8127-6390-4632-9f55-7125fa1a0b4a,1,116
0146472F-8C79-4C03-A917-744E78143895,1,118
0159fedf-5100-4ab6-9f00-4a0bc2de4e49,1,107
01657427-8f7c-4238-90bb-da4f805048b6,4,460
0166679E-1E93-45AA-B662-3F88A969787B,1,111
01B532BB-4B1B-49B7-97E0-4C51B86C065F,1,153
01b337fb-8849-4b86-bfab-498ab9423e66,5,1073
0213F540-C91B-4CFD-A0B5-BE17225C77B0,1,78
02215f09-b22b-4ed7-8941-db85f2ade63a,4,406
02283fee-0c14-44ef-8c98-36f285861a9b,1,105
022cc37b-e352-40ce-b060-52be123ffced,1,166
027b49ed-2221-4259-87b1-7347c36f0e1e,1,157
02f82d57-943f-4693-849f-9c6a0f8b54d0,1,84
0322667b-5134-48e3-b110-aaad9a33c94b,1,131
033831AE-FCDC-4059-B204-51A7AEA08E76,1,82
0374a772-4890-41bc-8a98-3c936832e8a1,1,165
03777B96-C55E-4480-8CEF-C3064FE51A60,1,92
03962e19-4d3a-40fa-8c4d-f2c953014919,1,108
03B727B1-571E-4A0C-B4DB-273AF384DE41,1,146
03C5D8BD-E9D0-4327-A337-E8BE3B6C89E2,1,108
03D4DEDE-B795-4DE1-B8FB-39C39470A7C9,5,839
03E442F0-8B99-4ED1-8408-27EAD2614D7B,1,164
03EED8BB-5207-4325-8EAF-70B3E7D02E7F,1,119
03F4203F-BECF-4AB8-832E-77510446EEC3,6,865
03a27fd7-4bf6-477e-861e-acb81fb67ef5,1,188
03afd16d-5deb-439f-9754-e39e113fe64a,1,112
03f7df52-3e1b-4576-ae09-0126fd6c62c2,1,187
041832eb-772c-43fe-af1f-3d202c1ba82f,1,114
045d6b25-f08e-41ec-bc0c-6b8d52ee156b,4,489
045da637-0fdb-4d30-86c7-29cebf8416fc,1,198
04858540-7d63-4218-8b48-444cd1e284c1,1,110
051779ee-d266-4bc0-9aea-fe40ab52260a,1,214
05395620-7449-4354-9569-f8593e34afc8,4,416
053AAC09-3E1A-4494-8C35-C7056FCD5752,1,150
053f9198-8d99-44b0-b135-10731ddc7321,6,917
05479337-8C7B-46BC-9AA8-3832E165A12A,1,178
0558bcd9-5106-4e16-addf-fd1964d78f42,1,168
0582847E-ED0A-4894-8B8C-B8B7BA418B78,1,160
058b90fc-a7c6-49b3-8e09-8653d48e2a8b,4,368
05B86212-80C5-4DB8-80A5-06DF2F2872CC,1,173
05a24d41-7a01-48fb-a8c1-ae43e91f1497,1,125
061F4B14-2DE6-44F7-8C87-E48F47977C6E,1,199
067a27b0-8111-43ac-9dc4-bdfdb5ff1432,1,91
06A5690A-B14B-4FED-89C9-C7CBF73357C6,10,1414
06CAA00E-ED07-4956-A208-A80135B10D4D,1,131
06CC9D43-6240-45CF-A12F-C2BDA673452D,1,135
072173A2-3A94-4AE0-B499-702B23A55C96,5,655
072430B0-D142-45A3-8D56-AADC1C032E92,5,1066
0753229d-addb-4692-8d3c-020df0578673,7,1069
075d04fa-e858-4d3a-b4af-8026c427771f,1,85
0770e099-31d3-4c76-94f7-de20385f6614,4,484
080b154b-8730-480d-b1a5-26e86ed96f6b,1,146
080bbadc-99ad-437e-b2a6-e8265673bba4,4,712
081ae2f0-9615-468c-8136-0d4931963276,4,651
0823E063-23D9-41F6-BB41-5E14587C4351,1,126
0829e0b6-d3cf-40f6-97f7-024ef3ac220f,5,526
085f4b0eebf911dd61d16afcaf1b093c,6,775
0862a398-74f2-42aa-8334-1a16c00100ce,1,144
086835d1-d0ae-4e37-849e-c1dea17cde61,1,139
086a0bdd-990c-41b2-bacf-0d1bdaf340bb,1,113
08865B97-7356-4F4C-B35C-581A97996AF0,1,72
08869C83-1F83-474E-9F2E-70CCF96D4EB5,1,170
089a16af-c010-483f-ac9f-38744aa65e51,1,131
08FD3C79-6E21-4C22-B845-047FAF290A96,4,599
08a4edae-703d-4918-878b-980ea4d82b51,1,85
08b0391d-9328-4493-9977-809922bedeb5,6,912
093e1c00-f6e9-4977-8917-c8b97ac502df,1,181
0949C613-D7DA-430A-B32E-796524BBB536,1,175
09739F6F-123A-422C-9CDC-AE932E42E4C8,3,285
0985682f-37a3-4a73-8d72-43859dbea0b6,3,576
09FD061B-BC2F-4152-870E-44962686A4CE,1,126
09f7d8c7-6bac-4807-82c8-307e1590922e,5,413
0A95C4D2-F733-4DBC-866E-A1BB51C27978,3,233
0AA4B6CF-3472-4A9D-85DF-24E3CC801157,1,110
0B00D470-A2B1-4E26-878F-286CFF96AF36,1,118
0B44BE28-2786-4275-A1B8-1FB3B4A72755,1,194
0B4631CC-3E11-4C67-BA58-36573EC26432,3,330
0B50F5C5-C5E7-42AC-BE5B-41BDBF0B80AF,1,145
0B577DC9-F725-4A66-BE6C-3F4CB6F6E828,1,79
0BDBFDC7-C7DD-4636-BAE5-18ADDED39FBF,3,377
0BFAA605-7FA6-4AFD-B5E5-53CD340593D0,1,169
0BFBE288-A54F-44F3-A369-2E3EC4ACBBD4,3,465
0C28CD2F-15D3-4D90-BEDB-FEA898C34DD6,1,79
0C32CE26-D2CF-4A3E-B266-4DB3BFAFFFB6,1,175
0C38320C-7A94-4F56-AE86-EA72FACBCBE5,3,379
0C3FD07D-CAB7-44B0-AC30-9E4F989F38F2,1,129
0C884276-F54E-4949-8483-154B0C3F88A4,3,385
0CF2DD36-A7A6-484B-868A-BE2508132BCD,1,140
0D15701C-4497-4D28-83B1-37A9451D6765,1,176
0D26DF19-A1F1-47FC-9167-47656372B590,1,210
0D3DFE2E-1CB6-4491-8BF8-CCE0029181E7,1,137
0D471BA2-E8FF-48D5-B119-0D1FD7E7E476,3,369
0D476C18-1044-405F-A454-1EF42893789B,1,135
0DB3BDC7-71C0-4B51-AE86-66420479CC18,1,190
0DD5F420-3ACE-4D08-9C0B-AEA3BE0D9E04,1,148
0DF60B8A-58DB-49D8-AB19-1398AE454211,1,103
0E2295A0-B501-47F7-A126-F6BD841C124E,1,173
0E8816CF-54BF-4B48-B841-D33C1B9D0034,3,364
0EB0D529-431A-4421-84D4-CFCBE3CF072D,1,72
0F213A32-FA4F-4239-9CDC-3023DEE1885B,7,1042
0F2A93ED-EF18-432E-97B3-6A47531DA9D5,3,314
0F57FADF-A9E6-4AD3-8FF5-6FD52BFC22A3,1,176
0F7996C9-75A5-42BA-91B6-F8B95C4AC011,3,318
0F8D629E-259A-4337-8FD1-964DB8D0AFC7,4,322
0F902B74-2D59-42D5-9A14-7CF35754B224,1,110
0a058d69-dc04-4e31-9873-7cec7d27ce84,4,671
0a2bb4b0-3a2d-4e74-bcb7-54f880c006cd,3,482
0a4b6a56-244d-41f5-91a2-ee778e2d3049,1,131
0a8dd68e-81e9-4499-8aea-a17ea86bca94,1,123
0a932e49-eea8-4ccb-83a4-7de59e692acd,1,66
0ae066ee-8d18-4bc8-bbaa-80452fcfc1c9,1,145
0aeaf418-7196-4054-b705-b44f989f488f,1,118
0af315bf-1cfe-4e51-843f-7e477fc9f0ab,1,128
0b20dda4-d0c6-440e-9046-55a699af6ab2,1,92
0b45d3a4-08dd-4458-b1f4-9c1c1d800e0e,4,571
0b66aceb-1504-4b3b-9c7a-ef22d547ae48,1,144
0b68e67a-0fda-40a2-b808-478071cfa316,5,860
0b7e5264-5a31-4ffe-abe2-699b76148066,1,148
0bc2506f-e45b-46d8-92f6-db64f3b18e82,1,177
0bdf9c87-2471-4f1f-b6bb-bd3793201ff4,1,112
0c517a83-a756-4d89-9968-80713727f599,1,142
0c80d91c-ccf4-4bb8-a8c8-ceee5f9dc312,3,304
0c90c5a1-d3a6-47f5-ac4b-f8e5abf58462,3,431
0ca0c060-3617-4263-b8f4-bb9d6e3b7c8c,3,457
0cad0bb8-2bf4-4643-bb2c-540e47ab5025,4,566
0cbceb51-f216-4da9-bf68-537d2bfb0e69,3,294
0cc6f94a-b2ba-4c5a-be07-0b180451a7e7,1,177
0d067ba9-7fad-463b-bc60-691dfd79fee2,3,280
0d1e23ca-7be4-4796-bf35-54ea1dbf2927,1,158
0d2ed814-4bfb-41c1-a404-45315aa36907,1,85
0d64715a-e0d9-4f66-a7c4-e8b23a4b63fc,1,123
0d65dbf5-56f7-4563-a371-1beeed0c5fea,1,132
0d664278-df97-4c70-a359-d6785373d288,1,68
0dfc0453-1e27-43ea-b022-087b5ed9824e,6,1142
0e3a9f6a-8c05-4bfd-a871-3414cf59540e,1,168
0e4efbe9-2f3d-4bab-9150-ee4142dd930d,1,114
0e7f0faa-c66d-481c-9a4f-9763e72fbbc7,1,124
0ec29b59-88d9-4aa8-8810-b97a3184792f,1,119
0ec5d692-c3bd-43d7-8511-b55a94c50ec6,1,73
0f1f5d5b-6d88-4d47-b883-29449b7795c4,4,723
0f4fcce9-0ae4-417d-95ea-72201eab4914,3,456
0f9a98ad-3948-41db-8ced-0863f420c038,1,164
0fa85ec4-c243-42c3-aa05-f5a0242e3199,1,129
0fba0232-1c0d-4046-b639-f292cc196a19,3,478
10067b04-779e-439f-b6d1-1fbc6f28a5d1,3,277
1018d1d8-4117-4f8f-8ecb-cfb5197caa85,3,576
102f13e3-743b-4fa4-8af6-d3e213e7a71d,3,441
105359A8-A157-443C-BCCB-EDEED72B4484,1,89
10682C71-0DFB-447A-9707-B5EFB3BE40FC,1,95
10883d05-8fbe-4574-b97c-0a11f2026834,1,149
109c39b6-f90b-44fa-ae98-8f9f605901f1,1,165
10A7AD9B-4744-4DDA-AA14-871D88AF6677,3,279
10DD0477-3E6C-4EFD-B0B4-D7F78C53190F,1,184
10EDBC95-9933-4AF0-8A2C-05C70D9E70A0,1,154
10df7e7c-edb3-461d-b1f8-6345c36e36c0,1,94
10f0db6e-2c32-4aa7-824d-8ad76d55c72f,1,155
1108E73A-7505-4214-8065-7B46479FEF0D,1,174
1115D611-3E9E-47BC-AEB9-D42D0DDA1A8D,1,166
11499714-0599-4D46-89BA-92373CACD7D8,1,101
11739b34-1bf3-41cb-a1b5-0d2541d9bbba,1,121
117f81fe-43e5-4b95-99b7-30b4bb78ceaa,1,80
11E73DAF-5806-48D5-A245-556E9AD7FC6D,3,286
11EAC384-88AE-490C-ACD0-810A382C4F99,5,625
12064979-6cbe-462a-875c-86354685448b,1,154
1233BD7D-2351-4F08-8D5E-5653A039A151,1,265
1235e8a2-5f42-45da-99ea-3ab19d2720b9,3,239
1250c712-052d-4f82-b282-addfa4f67d27,1,215
1252a5e9-4b74-49b9-85c4-fb79085e1b91,1,136
1259fb65-ac95-40ef-a0dc-d49a134ee6ae,4,882
1269F321-A79E-481A-BA3B-32BF1A82587C,3,473
1272f9e8-42dc-4ea9-b658-0915ec616c34,3,299
128ef92e-8ee1-4f56-9ec8-31955bcdb50c,1,217
129EDF02-1811-4DCA-AD52-AA08F3A4ADE6,3,496
12B42735-F7FD-4581-8E0C-B1D5490B894A,3,319
