word,count
tarjeta,9029
que,8936
puedo,6274
crédito,5339
una,4389
para,4363
como,4310
cuenta,4173
con,4076
por,3286
quiero,3201
cómo,3083
tengo,2951
hey,2668
pero,2380
hola,2205
hacer,1829
banco,1679
transferencia,1524
meses,1479
número,1467
gracias,1450
donde,1444
dinero,1426
pago,1394
qué,1392
los,1364
cancelar,1286
aparece,1261
credito,1235
del,1121
pagar,1037
auto,1031
app,1025
porque,1004
saber,992
cuánto,968
necesito,947
está,944
cargo,935
sin,919
dice,861
atención,851
cuál,848
dónde,845
token,833
asesor,824
puede,803
cuando,798
hablar,797
solicitar,783
ver,776
mis,745
física,742
saldo,722
personal,703
hay,696
débito,693
las,680
clabe,674
hice,655
compra,648
límite,635
pesos,633
tiene,629
deja,624
puedes,608
esta,607
cual,588
clientes,586
desde,586
enganche,584
hago,576
opción,574
cuanto,568
retirar,564
nueva,554
tiempo,552
más,551
cliente,551
garantía,547
cambiar,527
solo,524
monto,517
veo,515
préstamo,493
garantizada,483
transferir,482
aclaración,481
transferencias,476
todo,474
estado,463
otra,460
nip,456
favor,453
recibir,453
este,451
aplicación,445
efectivo,445
deuda,437
aún,432
numero,430
apple,418
sale,417
mil,417
correo,416
otro,416
cobro,412
línea,410
dar,407
automotriz,407
cambio,403
eso,402
mes,400
banregio,388
clave,385
debo,382
día,380
son,378
teléfono,378
pagos,372
quisiera,371
ese,362
contacto,361
seguro,356
reconocido,353
depositar,352
pueden,351
pendiente,351
encuentro,348
pasa,346
entonces,341
intereses,341
costo,334
pay,328
reconozco,326
sobre,319
algún,315
compras,315
movimiento,314
usar,313
tener,311
reportar,309
servicio,304
tdc,303
esa,301
cajero,300
reflejado,300
retiro,299
virtual,297
fue,297
activar,297
cargos,296
depósito,296
ser,293
nada,290
tasa,290
norte,290
sacar,289
información,288
días,285
domicilio,285
realizar,284
buenas,281
estoy,279
obtener,279
pal,278
anualidad,269
hace,269
ayuda,267
hoy,263
llega,261
centro,261
havi,258
wallet,258
tarda,258
plazo,253
depósitos,252
reposición,252
interés,250
sería,248
beneficios,248
comprobante,247
datos,246
pedir,245
cajeros,244
proceso,243
bloqueada,243
solicito,241
movimientos,241
muchas,234
ahora,233
javi,231
tarjetas,231
problema,230
comisión,230
cancelo,229
funciona,226
fecha,224
requisitos,224
están,224
cuentas,223
nuevo,223
paso,221
años,220
verificar,220
diferir,219
digital,218
pro,216
comprar,214
actualizar,214
hicieron,212
inversión,210
llamar,209
limite,207
momento,206
codi,206
aumentar,204
oxxo,203
mas,203
duda,202
debito,202
interbancaria,202
año,201
nómina,201
tardes,200
voy,199
hasta,199
error,198
reembolso,198
llegó,197
alguna,190
buen,190
bien,189
activo,188
disponible,187
apartado,186
ustedes,185
atencion,185
mismo,185
sigue,184
fisica,183
poner,182
venció,182
cashback,180
revisar,178
fan,177
persona,177
algo,176
poder,174
total,173
linea,173
han,172
cotización,172
soy,169
aun,169
código,168
celular,168
solicitud,166
dos,165
sea,165
horario,164
refleja,164
cobran,164
correcto,163
validar,163
activa,162
ayúdame,161
anterior,161
tienen,159
liquidar,159
llegado,157
incorrecto,155
marcar,154
eliminar,153
uso,152
deposito,150
contactar,150
usuario,149
rastreo,149
2026,148
ejecutivo,148
okey,148
decir,147
dame,147
mensaje,145
así,144
aclaraciones,143
antes,143
permite,142
oye,142
después,142
shop,141
aumento,141
corte,140
ayudar,139
terminal,139
menores,138
estados,138
bancos,138
mensual,136
abrir,136
cantidad,136
dan,136
hacerlo,134
realice,134
alguien,134
comunicarme,131
pide,131
gustaría,131
portabilidad,131
agente,131
estatus,130
hizo,130
cuáles,128
problemas,128
10%,127
van,127
ayer,126
seguir,125
carro,125
agregar,125
plástico,123
vez,123
vencimiento,121
validación,121
dirección,120
contrato,120
soporte,120
devolución,120
máximo,120
ahorro,119
tradicional,118
aplicacion,117
