category_id,count,conversations,category_name
-1,6086,6086,Noise
14,4860,4860,General/Gral
7,2300,2300,Productos de Crédito
2,2221,2221,Activación y Tokens
1,1557,1557,Atención a Clientes
4,1475,1475,Estados de Cuenta
3,904,904,Cargos No Reconocidos
8,778,778,Pagos y Comisiones
12,712,712,Fidelización/Membresía
5,600,600,Apple Pay/Billetera
16,527,527,Aclaraciones
10,475,475,Transferencias
13,455,455,Términos de Financiamiento
9,415,415,Retiros en Efectivo
6,328,328,Cancelación de Cuenta
15,299,299,Tarjeta Bloqueada
11,127,127,Depósitos
