cluster_id,category_id,category_name,description
0,14,General/Gral,"Greetings, thanks, general interactions"
1,1,Atención a Clientes,"Customer service phone numbers, contact"
2,3,Cargos No Reconocidos,"Unrecognized charges, disputes"
3,14,General/Gral,"Greetings (hola, buena tarde)"
4,6,Cancelación de Cuenta,"Account cancellation, delete account"
5,2,Activación y Tokens,"Token issues, activation, codi"
6,1,Atención a Clientes,"Customer service - largest cluster"
7,1,Atención a Clientes,"Contact advisor"
8,1,Atención a Clientes,"Speak with advisor request"
9,12,Fidelización/Membresía,"NIP, FAN, Hey Pro membership"
10,5,Apple Pay/Billetera,"Apple Pay, wallet, digital payments"
11,2,Activación y Tokens,"Activate card, mobile token"
12,2,Activación y Tokens,"Token incorrect/error"
13,9,Retiros en Efectivo,"Cash withdrawal without card"
14,12,Fidelización/Membresía,"Nomina portability"
15,12,Fidelización/Membresía,"Pal Norte, Tecate benefits"
16,13,Términos de Financiamiento,"Months, down payment, plazos"
17,4,Estados de Cuenta,"Account statements, download"
18,13,Términos de Financiamiento,"Months without interest"
19,14,General/Gral,"General questions (which, what)"
20,6,Cancelación de Cuenta,"Cancel account, transfers"
21,5,Apple Pay/Billetera,"Codi option issues"
22,7,Productos de Crédito,"Auto credit"
23,7,Productos de Crédito,"Personal loans"
24,7,Productos de Crédito,"Auto insurance"
25,2,Activación y Tokens,"Where to find token"
26,4,Estados de Cuenta,"CLABE, account number"
27,2,Activación y Tokens,"Virtual card changes"
28,4,Estados de Cuenta,"View accounts, movements"
29,4,Estados de Cuenta,"Tracking key, interbank"
30,8,Pagos y Comisiones,"Payment date, fees"
31,3,Cargos No Reconocidos,"Report movement/charge"
32,8,Pagos y Comisiones,"Payments, airtime recharge"
33,7,Productos de Crédito,"Annual fee, cashback"
34,4,Estados de Cuenta,"Minor accounts"
35,8,Pagos y Comisiones,"Why am I being charged"
36,14,General/Gral,"General/Otros - largest cluster"
37,3,Cargos No Reconocidos,"Promotions, charges"
38,15,Tarjeta Bloqueada,"Blocked card issues"
39,7,Productos de Crédito,"Guaranteed credit card"
40,7,Productos de Crédito,"Credit limit"
41,2,Activación y Tokens,"Request physical card"
42,7,Productos de Crédito,"Credit card, balance"
43,14,General/Gral,"How to know, NIP"
44,7,Productos de Crédito,"Credit line increase"
45,7,Productos de Crédito,"Deposit limit"
46,10,Transferencias,"Transfer debt to other bank"
47,12,Fidelización/Membresía,"Hey Banco, Banregio"
48,16,Aclaraciones,"Clarification requests"
49,9,Retiros en Efectivo,"Withdraw cash at ATMs"
50,11,Depósitos,"Deposit at OXXO"
51,7,Productos de Crédito,"Receive money from USA"
52,10,Transferencias,"Transfer issues"
53,16,Aclaraciones,"Timeframes, processing time"
